Project,Bug ID,Severity Label,Resolution Status,Short Description
Bugzilla,322082,normal,FIXED,Clean up user selection SQL
Bugzilla,322412,trivial,FIXED,Typo in error message
Bugzilla,322315,normal,FIXED,If logged out $user->can_bless gives: Not an ARRAY reference at Bugzilla/User.pm line 643
Bugzilla,322244,trivial,FIXED,cookies are incorrectly detainted when logging out
Bugzilla,322212,critical,FIXED,DERIVE_GROUPS_TABLES_ALREADY_LOCKED is ignored on 2.20+ when creating a new user object
Bugzilla,322620,normal,FIXED,Logging in with 'Remember my Login' deselected gives: Use of uninitialized value in string eq at Bugzilla/Auth/Login/WWW/CGI.pm line 83
Bugzilla,322712,normal,FIXED,cannot export local attachments
Bugzilla,322771,normal,FIXED,PostgreSQL seems to incorrectly detect control characters... or clean_text() incorrectly fixes them
Bugzilla,323575,normal,FIXED,[PostgreSQL] sanitycheck.cgi?createmissinggroupcontrolmapentries=1 fails
Bugzilla,323967,trivial,FIXED,trivial UI changes for 2.20 (Selenium compat)
Bugzilla,323769,normal,FIXED,"""Invalid Column Name"" when exportign bug list to CVS"
Bugzilla,323955,normal,FIXED,deleting a group incorrectly checks for user group membership (miss group inheritance)
Bugzilla,324248,normal,FIXED,deleting a group doesn't remove entries in group_group_map correctly
Bugzilla,323392,trivial,FIXED,admin/classifications/select.html.tmpl has a link pointing to itself
Bugzilla,323721,major,FIXED,New charts feature crashes
Bugzilla,323563,normal,FIXED,"""Mail Transport Config"" is a confusing name for a params section"
Bugzilla,325037,trivial,FIXED,Remove whitespaces from the 'Long Format' button
Bugzilla,325361,normal,FIXED,"When an event is scheduled at midnight of a given day of the month, one email is sent *each* hour of that day"
Bugzilla,325448,trivial,FIXED,"In editparams.cgi, radio button and checkbox descriptions should be enclosed in <label></label> tags"
Bugzilla,325048,normal,FIXED,[PostgreSQL] Changing the status of a bug from UNCO to ASSIGNED sets everconfirmed to 1 but leave the status as UNCONFIRMED
Bugzilla,324346,normal,FIXED,"When 'shutdownhtml' is set, accessing foo.cgi?format=bar displays plain text instead of html"
Bugzilla,326803,trivial,FIXED,"Wrong colspan for ""summarize time"" link below time tracking bar on show_bug.cgi"
Bugzilla,322960,blocker,FIXED,Release Notes for Bugzilla 2.22rc1
Bugzilla,325079,major,FIXED,The login form on the Bugzilla home page may redirect your login and password to another site
Bugzilla,328031,normal,FIXED,"Remove duplicate ""the the"" from using.xml"
Bugzilla,323627,normal,FIXED,"Setting ""loginnetmask"" to 0 does not disable IP checking"
Bugzilla,327624,normal,FIXED,Missing space in attachment size error
Bugzilla,327355,normal,FIXED,Email preferences are not set correctly when the user account is created by Env.pm
Bugzilla,327289,normal,FIXED,Env.pm plugin doesn't create new user accounts correctly in Postgres
Bugzilla,326060,trivial,FIXED,Templates should not check for flag.setter; it is always known
Bugzilla,328063,normal,FIXED,Upgrading to 2.23 on PostgreSQL generates an error
Bugzilla,328166,critical,FIXED,editusers.cgi does not work because it has a Byte Order Mark at the beginning
Bugzilla,328108,blocker,FIXED,Unable to login on a fresh Bugzilla install
Bugzilla,328239,major,FIXED,Software error when editing the 'docs_urlbase' parameter
Bugzilla,328244,normal,FIXED,https://bugzilla.org/ results in the Syndicomm site
Bugzilla,328379,minor,FIXED,Fix spelling: 'visitng' -> 'visiting'
Bugzilla,328385,minor,FIXED,"dependency tree images missing from #251656 """
